year,country_txt,region_txt,incident_count,GDP per capita,population,incident_per_capita,education_level
2017,South Africa,Sub-Saharan Africa,29,12189.357,56641208.0,5.119947300558985e-07,10.1
2017,Spain,Western Europe,4,30908.12,46584168.0,8.58660822277646e-08,9.8
2017,Sri Lanka,South Asia,41,11418.129,21506816.0,1.9063723798074061e-06,10.9
2017,Sweden,Western Europe,18,45192.742,10058191.0,1.789586218833983e-06,12.4
2017,Syria,Middle East & North Africa,243,3241.3958,18983370.0,1.2800677645749938e-05,5.1
2017,Taiwan,East Asia,1,43503.793,23665028.0,4.22564469393402e-08,7.907189542483661
2017,Tajikistan,Central Asia,2,4204.9053,8925529.0,2.2407635446593698e-07,10.4
2017,Tanzania,Sub-Saharan Africa,6,2762.8704,56267040.0,1.0663436356346451e-07,5.8
2017,Thailand,Southeast Asia,179,16032.216,70898208.0,2.5247464646779225e-06,7.6
2017,Tunisia,Middle East & North Africa,4,11168.261,11811441.0,3.3865469928690327e-07,7.2
2017,Turkey,Middle East & North Africa,181,18995.824,82089824.0,2.2049017914814875e-06,8.0
2017,Uganda,Sub-Saharan Africa,13,1991.8951,40127096.0,3.239706157654668e-07,6.1
2017,Ukraine,Eastern Europe,61,9484.381,44657260.0,1.3659593087439758e-06,11.3
2017,United Kingdom,Western Europe,122,37782.83,66064808.0,1.8466715289628936e-06,12.9
2017,United States,North America,65,54007.77,329791232.0,1.9709438485011027e-07,13.4
2017,Venezuela,South America,17,12879.135,30563430.0,5.562202933374952e-07,10.3
2017,Vietnam,Southeast Asia,2,6422.0864,94033048.0,2.1269118065810226e-08,8.2
2017,Yemen,Middle East & North Africa,226,2321.9238,30034386.0,7.524708512436378e-06,3.0
2017,Zambia,Sub-Saharan Africa,2,3497.5818,17298056.0,1.1561992862088087e-07,7.0
2017,Zimbabwe,Sub-Saharan Africa,3,1582.3662,14751101.0,2.03374649797327e-07,8.2
